NOME_DEPARTAMENTO,NOME_SECCIONAL,NOME_DELEGACIA,CIDADE,ANO_BO,NUM_BO,DATA_COMUNICACAO,DATA_OCORRENCIA_BO,HORA_OCORRENCIA_BO,DESC_PERIODO,DESCR_TIPOLOCAL,BAIRRO,LOGRADOURO,NUMERO_LOGRADOURO,LATITUDE,LONGITUDE,NOME_DELEGACIA_CIRCUNSCRIÇÃO,NOME_DEPARTAMENTO_CIRCUNSCRIÇÃO,NOME_SECCIONAL_CIRCUNSCRIÇÃO,NOME_MUNICIPIO_CIRCUNSCRIÇÃO,RUBRICA,DESCR_CONDUTA,NATUREZA_APURADA,MES_ESTATISTICA,ANO_ESTATISTICA
DEINTER 1 - SAO JOSE DOS CAMPOS,DEL.SEC.S.JOSÉ DOS CAMPOS,04º D.P. S.JOSE DOS CAMPOS,S.JOSE DOS CAMPOS,2024,AQ8531,2024-01-15,2023-10-13,23:12:00,,Via Pública,VILA PAIVA,RODOVIA MONTEIRO LOBATO,107.0,-23.0005374,-45.8552272,DEL.POL.MONTEIRO LOBATO,DEINTER 1 - SAO JOSE DOS CAMPOS,DEL.SEC.S.JOSÉ DOS CAMPOS,MONTEIRO LOBATO,Lesão corporal culposa na direção de veículo automotor (Art. 303),,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,1,2024
DEINTER 1 - SAO JOSE DOS CAMPOS,DEL.SEC.S.JOSÉ DOS CAMPOS,CPJ S. JOSÉ DOS CAMPOS,S.JOSE DOS CAMPOS,2024,AA0693,2024-01-01,2024-01-01,06:40:00,,Outros,JARDIM NOVA AMÉRICA,PRAÇA NOSSA SENHORA DE FATIMA,122.0,-23.193450852,-45.8986525519999,01º D.P. S.JOSE DOS CAMPOS,DEINTER 1 - SAO JOSE DOS CAMPOS,DEL.SEC.S.JOSÉ DOS CAMPOS,S.JOSE DOS CAMPOS,Furto (art. 155),Estabelecimento-Outros,FURTO - OUTROS,1,2024
DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,S.JOSE DOS CAMPOS,2024,AA0787,2024-01-01,2023-12-31,,A tarde,,CENTRO,AVENIDA DOUTOR JOAO GUILHERMINO,287.0,-23.1885406024999,-45.8857954760416,01º D.P. S.JOSE DOS CAMPOS,DEINTER 1 - SAO JOSE DOS CAMPOS,DEL.SEC.S.JOSÉ DOS CAMPOS,S.JOSE DOS CAMPOS,Furto (art. 155),Outros,FURTO - OUTROS,1,2024
DEINTER 1 - SAO JOSE DOS CAMPOS,DEL.SEC.S.JOSÉ DOS CAMPOS,CPJ S. JOSÉ DOS CAMPOS,S.JOSE DOS CAMPOS,2024,AA4319,2024-01-02,2024-01-02,02:15:00,,Restaurante,VILA ADYANA,RUA ENGENHEIRO PRUDENTE MEIRELES DE MORAIS,483.0,-23.1985226,-45.892585,01º D.P. S.JOSE DOS CAMPOS,DEINTER 1 - SAO JOSE DOS CAMPOS,DEL.SEC.S.JOSÉ DOS CAMPOS,S.JOSE DOS CAMPOS,Furto (art. 155),Outros,FURTO - OUTROS,1,2024
DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,S.JOSE DOS CAMPOS,2024,AA5671,2024-01-01,2024-01-01,,A tarde,Via Pública,CENTRO,RUA ANTONIO MORAES BARROS,92.0,-23.1885358565592,-45.8883981443257,01º D.P. S.JOSE DOS CAMPOS,DEINTER 1 - SAO JOSE DOS CAMPOS,DEL.SEC.S.JOSÉ DOS CAMPOS,S.JOSE DOS CAMPOS,Furto (art. 155),Outros,FURTO - OUTROS,1,2024
DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA 3,S.JOSE DOS CAMPOS,2024,AA5702,2024-01-01,2024-01-01,15:00:00,,Via Pública,JARDIM NOVA AMÉRICA,AVENIDA ANCHIETA,455.0,,,01º D.P. S.JOSE DOS CAMPOS,DEINTER 1 - SAO JOSE DOS CAMPOS,DEL.SEC.S.JOSÉ DOS CAMPOS,S.JOSE DOS CAMPOS,Furto (art. 155),Residência,FURTO - OUTROS,1,2024
DEINTER 1 - SAO JOSE DOS CAMPOS,DEL.SEC.GUARATINGUETA,02º D.P. LORENA,S.JOSE DOS CAMPOS,2024,AB0637,2024-01-02,2023-12-09,,Em hora incerta,Hospital,CENTRO,RUA DOLZANI RICARDO,620.0,-23.18690627,-45.884752325,01º D.P. S.JOSE DOS CAMPOS,DEINTER 1 - SAO JOSE DOS CAMPOS,DEL.SEC.S.JOSÉ DOS CAMPOS,S.JOSE DOS CAMPOS,Furto (art. 155),Outros,FURTO - OUTROS,1,2024
DEINTER 1 - SAO JOSE DOS CAMPOS,DEL.SEC.S.JOSÉ DOS CAMPOS,06º D.P. S.JOSE DOS CAMPOS,S.JOSE DOS CAMPOS,2024,AB1644,2024-01-02,2023-12-22,,Em hora incerta,Estádio/Ginásio,CENTRO,TRAVESSA MAJOR CESAR LEITE,20.0,-23.1901337,-45.8865026,01º D.P. S.JOSE DOS CAMPOS,DEINTER 1 - SAO JOSE DOS CAMPOS,DEL.SEC.S.JOSÉ DOS CAMPOS,S.JOSE DOS CAMPOS,Furto (art. 155),Transeunte,FURTO - OUTROS,1,2024
DEINTER 1 - SAO JOSE DOS CAMPOS,DEL.SEC.S.JOSÉ DOS CAMPOS,01º D.P. S.JOSE DOS CAMPOS,S.JOSE DOS CAMPOS,2024,AB5398,2024-01-02,2024-01-02,01:30:00,,Apartamentos,VILA SANCHES,VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,0.0,0.0,01º D.P. S.JOSE DOS CAMPOS,DEINTER 1 - SAO JOSE DOS CAMPOS,DEL.SEC.S.JOSÉ DOS CAMPOS,S.JOSE DOS CAMPOS,Furto (art. 155),Outros,FURTO - OUTROS,1,2024
DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,S.JOSE DOS CAMPOS,2024,AB6581,2024-01-02,2023-12-31,,A noite,Via Pública,CENTRO,RUA CLAUDINO PINTO,1.0,-23.188438204,-45.884378511,01º D.P. S.JOSE DOS CAMPOS,DEINTER 1 - SAO JOSE DOS CAMPOS,DEL.SEC.S.JOSÉ DOS CAMPOS,S.JOSE DOS CAMPOS,Furto (art. 155),Outros,FURTO - OUTROS,1,2024
